"","title","link","address","lat","long","date_opened","date_closed","descr","closed_status"
"170","Other at Intersection Of Washington St & Enneking Pkwy, Hyde Park","https://311.boston.gov/reports/101002122824","Intersection Of Washington St & Enneking Pkwy, Hyde Park",42.274938,-71.140865,2017-06-23 13:01:00,NA,"Along Washington Street to/from Beethoven Elementary school there is no safe place to bike. I have a cargo bike that i commute in and pick up my daughter in from Beethoven and with no bike lane and sidewalks have overgrowth on with poison ivy mixed in. Ideally the city would be able to place safe bike lanes along the road with more enforced speed limit. People drive >45mph! Although maintaining the sidewalks by trimming back the overgrowth would be a nice start. Thank you.",NA
"171","Illegal Parking at 247 Huntington Ave","https://311.boston.gov/reports/101002117305","247 Huntington Ave, Boston",42.343121,-71.085346,2017-06-17 17:26:00,2017-06-17 17:33:00,"Renta a cops do not get to park in the bike lane. This kills people.","Case Noted. security guard on Mass Ave has left the area."
"172","Illegal Parking at 149 Massachusetts Ave, Apt 1","https://311.boston.gov/reports/101002115851","149 Massachusetts Ave, Apt 1, Boston",42.3466914991397,-71.0875834215695,2017-06-15 18:02:00,2017-06-15 19:41:00,"I give up, 311. You have defeated me. I will never again call 911 and 311 and use the app to report this Starbucks delivery truck, which shows up every night at 6pm to park on Mass Ave at rush hour, block an entire lane of traffic, and cut off a bike lane. It is illegal and unsafe. But apparently the city has no way to keep a major artery clear at the height of rush hour when a delivery truck parks in the same spot every night, night after night, and is reported again and again. Good luck! 151 Mass Ave and Starbucks and DPI Logistics, you win! See you next time when I'm stuck behind you.","Case Noted. supervisor went to this location and moved out the truck."
"173","Illegal Parking at Intersection Of Chestnut St & Perkins St, Jamaica Plain","https://311.boston.gov/reports/101002114923","Intersection Of Chestnut St & Perkins St, Jamaica Plain",42.321361812972,-71.1204712888052,2017-06-14 23:28:00,2017-06-15 03:46:00,"Cars park all day, evening and night in bike lane around pond","Case Resolved. clear."
"174","Damaged Sign at 10 Post Office Sq, 1","https://311.boston.gov/reports/101002095376","10 Post Office Sq, 1, Boston",42.35711,-71.056053,2017-05-23 10:31:00,2017-06-07 14:05:00,"Bike lane paint is non existent because cars park here. Please repaint and install bollards.","Case Resolved"
"175","Illegal Parking at 155 Congress St","https://311.boston.gov/reports/101002103222","155 Congress St, Boston",42.3558307469401,-71.0559646704022,2017-06-01 17:12:00,2017-06-01 17:28:00,"Driver parked at end of cones on Congress bike lane for at least ten minutes (long enough for me to go in and out of One Federal). Politely asked to move, explained why it's not cool to park there and suggested nearby places he could live parked. Completely ignored me, then slapped my phone out of my hand into the street when I went to get his picture.","Case Noted. you should report it to 911 the bike lane is clear now."
"176","New Sign, Crosswalk or Marking at 310 Columbia Rd, Dorchester","https://311.boston.gov/reports/101002092459","310 Columbia Rd, Dorchester",42.3101199997557,-71.0728599997798,2017-05-19 14:23:00,2017-05-25 12:15:00,"Type of request: Sign | Details: Constituent is requesting 2-3 'customer only parking' parking signs so that they can increase customer intake. Constituent would like a follow up via e-mail to see what the result is","Case Resolved. We do not provide this type of sign in the City.  Additionally, at this location, there is no room for on-street parking. Your customers may choose to park on Ceylon St or on either side of Columbia Rd just south of this location. At 310 Columbia Rd, the street is approximately 29' between the curbs, widening to about 40' at the signalized intersection with Ceylon. This width is allocated to two 12' travel lanes a 5' bike lane, widening to include a left-turn lane at the signal. There is no width available to add parking. In other nearby sections of Columbia Rd, the curb-to-curb width is 34', widening to 44' at the intersections. The much wider width allows for 7' to 8' that can be allocated to parking, in addition to the bike lane, two travel lanes, and, at intersections, the turn lane."
"177","Illegal Parking at Intersection Of Columbus Ave & W Springfield St, Roxbury","https://311.boston.gov/reports/101002096460","Intersection Of Columbus Ave & W Springfield St, Roxbury",42.3409715993724,-71.0811711475915,2017-05-24 09:45:00,2017-05-24 10:29:00,"Car and truck parked in bike lane, an almost daily occurrence.  Please enforce the law and ticket and tow the people who park here all the time","Case Resolved. vehicles moved will keep eyes on this."
"178","Illegal Parking at Martha Rd Boston MA","https://311.boston.gov/reports/101002094243","Intersection Of Monsignor O'brien Hwy & Nashua St, Boston",42.3663935,-71.0675714,2017-05-22 09:56:00,2017-05-22 12:13:00,"Weekdays from around 6:30 am up to 3 private shuttle buses park in no stopping zone/bike lane between Whittier Place and Amy Court. Please monitor.","Case Resolved. boston police and btd cleared it will keep eyes on it."
"179","Illegal Parking at 515 Park Dr","https://311.boston.gov/reports/101002085939","Car in bike lane 
The user entered the 515 Park Dr, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/3406686",42.3481464075608,-71.1057874040714,2017-05-11 19:00:00,2017-05-11 19:34:00,"Car in bike lane 
The user entered the address: 515 Park Dr, Boston, MA 02215, USA to see more details visit: http://seeclickfix.com/issues/3406686","Case Noted"
